Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
Chiringuito Varela;29740;Paseo Marítimo;Vélez-Málaga;Caleta 2000;36.7425758;-4.0879546;La Axarquía;España;No especificado;No disponible;Chiringuito Varela, Paseo Marítimo, Torres de Colón, Caleta 2000, Torre del Mar, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29740, España
El Conejo;29520;;Fuente de Piedra;;37.1515718;-4.7576731;Antequera;España;No especificado;No disponible;El Conejo, Fuente de Piedra, Antequera, Málaga, Andalucía, 29520, España
El Cruce;29700;MA-3113;Vélez-Málaga;;36.8073174;-4.1252095;La Axarquía;España;No especificado;No disponible;El Cruce, MA-3113, Trapiche, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29700, España
La Raqueta;29789;Avenida Ciudad de Pescia;Nerja;;36.7584793;-3.8693374;La Axarquía;España;No especificado;No disponible;La Raqueta, Avenida Ciudad de Pescia, Nerja, La Axarquía, Málaga, Andalucía, 29789, España
Alegre;29780;Calle Córdoba;Nerja;;36.7546488;-3.8737182;La Axarquía;España;No especificado;No disponible;Alegre, Calle Córdoba, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
La Puntilla;29780;Calle Bolivia;Nerja;;36.7500007;-3.8746883;La Axarquía;España;No especificado;No disponible;La Puntilla, Calle Bolivia, Imaroga, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
"Chiringuito Alonso ""El Pionero""";29793;Paseo Marítimo de Ferrara;Torrox;Torrox-Costa;36.7289824;-3.9633043;La Axarquía;España;No especificado;No disponible;"Chiringuito Alonso ""El Pionero"", Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España"
Chiringuito Laguna;29793;Paseo Marítimo de Ferrara;Torrox;Torrox-Costa;36.7310265;-3.9735619;La Axarquía;España;No especificado;No disponible;Chiringuito Laguna, Paseo Marítimo de Ferrara, Torrox-Costa, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Mirador de Güilche;29789;Vía Antigua N-340;Nerja;;36.7426897;-3.9090396;La Axarquía;España;No especificado;No disponible;Mirador de Güilche, Vía Antigua N-340, Macaca, Nerja, La Axarquía, Málaga, Andalucía, 29789, España
Taberna El Tapeito;29793;Paseo Maritimo;Torrox;Torrox-Costa;36.7290561;-3.9631414;La Axarquía;España;No especificado;No disponible;Taberna El Tapeito, Paseo Marítimo, Torrox-Costa, Castillo Bajo-Conejito, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Chiringuito Torrecilla 3;29780;Calle Torrecilla;Nerja;;36.7421792;-3.8819167;La Axarquía;España;No especificado;No disponible;Chiringuito Torrecilla 3, 3, Calle Torrecilla, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Vitaliano;29780;Calle Málaga;Nerja;;36.7423184;-3.8804047;La Axarquía;España;No especificado;No disponible;Vitaliano, 21, Calle Málaga, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Da Vinci;29650;Autovía del Mediterráneo;Mijas;Urbanización Sitio de Calahonda;36.4891291;-4.7121188;Costa del Sol Occidental;España;No especificado;No disponible;Da Vinci, Autovía del Mediterráneo, Villapinos, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
