Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
San Miguel;;;Málaga;San Miguel;36.7333351;-4.4194846;Málaga-Costa del Sol;España;No especificado;No disponible;San Miguel, Centro, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España
Miel y Nata Mountain;29649.0;Calle José de Orbaneja;Mijas;Urbanización Sitio de Calahonda;36.506958;-4.7275632;Costa del Sol Occidental;España;No especificado;No disponible;Miel y Nata Mountain, Calle José Orbaneja de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Los Alamos;29140.0;Calle Mentón;Torremolinos;;36.6447488;-4.4855;Costa del Sol Occidental;España;No especificado;No disponible;Los Álamos, Calle Mentón, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29140, España
Las piedras;;;Cártama;;36.7955683;-4.600095;Valle del Guadalhorce;España;No especificado;No disponible;Las Piedras, Cártama, Valle del Guadalhorce, Málaga, Andalucía, España
Papillon (abandoned);29649.0;Calle José de Orbaneja;Mijas;Urbanización Sitio de Calahonda;36.5071667;-4.7276983;Costa del Sol Occidental;España;No especificado;No disponible;Papillon (abandoned), Calle José Orbaneja de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Miel y Nata Los Cipreses;29650.0;Calle Beamar de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4892118;-4.7285749;Costa del Sol Occidental;España;No especificado;No disponible;Miel y Nata Los Cipreses, Calle Beamar de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
La Casita;29360.0;Calle Cardenal Herrera Oria;Málaga;Playas del Palo;36.7193872;-4.3649758;Málaga-Costa del Sol;España;No especificado;No disponible;La Casita, 3, Calle Quitapenas, Playas del Palo, Este, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29017, España
Villa Paradiso;29650.0;Calle San Wenceslao de Calypso;Mijas;Urbanización Sitio de Calahonda;36.4897899;-4.7148915;Costa del Sol Occidental;España;No especificado;No disponible;Villa Paradiso, Calle San Wenceslao de Calypso, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Akira Fuji;29650.0;Calle Ardaves de Calypso;Mijas;Urbanización Sitio de Calahonda;36.4899162;-4.7147601;Costa del Sol Occidental;España;No especificado;No disponible;Akira Fuji, Calle Ardaves de Calypso, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
The Boathouse;29650.0;Calle Ardaves de Calypso;Mijas;Urbanización Sitio de Calahonda;36.4896951;-4.714296;Costa del Sol Occidental;España;No especificado;No disponible;The Boathouse, Calle Ardaves de Calypso, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Da Vinci's;29650.0;Calle Istán de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4894678;-4.7280908;Costa del Sol Occidental;España;No especificado;No disponible;Da Vinci's, Calle Istán de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Dempsey's;29650.0;Autovía del Mediterráneo;Mijas;Urbanización Sitio de Calahonda;36.4890019;-4.711872;Costa del Sol Occidental;España;No especificado;No disponible;Dempsey's, Autovía del Mediterráneo, Villapinos, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Bread's;29650.0;Calle Calypso;Mijas;Urbanización Sitio de Calahonda;36.4898476;-4.7115582;Costa del Sol Occidental;España;No especificado;No disponible;Bread's, Calle Calypso, Calypso, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Willson's Cafe Bar;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4937521;-4.7195303;Costa del Sol Occidental;España;No especificado;No disponible;Willson's Cafe Bar, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Little India;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4928422;-4.718548;Costa del Sol Occidental;España;No especificado;No disponible;Little India, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Little Mexico;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4930492;-4.7187626;Costa del Sol Occidental;España;No especificado;No disponible;Little Mexico, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Rumores;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4931095;-4.7188345;Costa del Sol Occidental;España;No especificado;No disponible;Rumores, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Little Italy;29620.0;Calle Doña María Barrabino;Torremolinos;;36.6242923;-4.5007198;Costa del Sol Occidental;España;No especificado;No disponible;Little Italy, Calle Doña María Barrabino, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
Fish & Co;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4933597;-4.7190523;Costa del Sol Occidental;España;No especificado;No disponible;Fish & Co, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Fong Sheng;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4926093;-4.718312;Costa del Sol Occidental;España;No especificado;No disponible;Fong Sheng, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Slow Boat;29650.0;Avenida España de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.4923008;-4.7180368;Costa del Sol Occidental;España;No especificado;No disponible;Slow Boat, Avenida España de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Bogart's;29650.0;Calle Pinos de Calahonda;Mijas;Urbanización Sitio de Calahonda;36.492024;-4.7176906;Costa del Sol Occidental;España;No especificado;No disponible;Bogart's, Calle Pinos de Calahonda, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
La Terraza;29631.0;Calle Pedro Serrano;Benalmádena;Arroyo de la Miel;36.6051003;-4.5334642;Costa del Sol Occidental;España;No especificado;No disponible;La Terraza, Calle Pedro Serrano, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29631, España
La Playa;29620.0;Paseo Marítimo;Torremolinos;;36.6430783;-4.478878;Costa del Sol Occidental;España;No especificado;No disponible;La Playa, 18K, Paseo Marítimo, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
Starbucks;29002.0;Calle Mendívil;Málaga;Renfe;36.7122252;-4.4318197;Málaga-Costa del Sol;España;No especificado;No disponible;Starbucks, Calle Mendívil, Renfe, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España
Caffe Pascucci Shop Málaga;29004.0;Calle Palencia;Málaga;;36.6830024;-4.4707306;Málaga-Costa del Sol;España;No especificado;No disponible;Caffe Pascucci Shop Málaga, 3, Calle Palencia, Centro Comercial Málaga Nostrum, Carretera de Cádiz, Guadalmar-San Julián, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España
Ristorante La Paladoro Pizzeria;29630.0;Avenida del Sol;Benalmádena;Benalmádena Costa;36.5816463;-4.539241;Costa del Sol Occidental;España;No especificado;No disponible;Ristorante La Paladoro Pizzeria, Avenida del Sol, Benalmádena Costa, Torrequebrada, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Torreón del Mar;29630.0;Avenida del Sol;Benalmádena;Benalmádena Costa;36.5814972;-4.5395493;Costa del Sol Occidental;España;No especificado;No disponible;Torreón del Mar, Avenida del Sol, Benalmádena Costa, Torrequebrada, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Restaurante Rincón del Mar;29630.0;Calle Torrevigía;Benalmádena;Benalmádena Costa;36.5818337;-4.5363659;Costa del Sol Occidental;España;No especificado;No disponible;Restaurante Rincón del Mar, Calle Torrevigía, Benalmádena Costa, Torrequebrada, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Restaurante Los Remos Lazaro;29630.0;Calle Torrevigía;Benalmádena;Benalmádena Costa;36.5831178;-4.534965;Costa del Sol Occidental;España;No especificado;No disponible;Restaurante Los Remos Lazaro, Calle Torrevigía, Benalmádena Costa, Torrequebrada, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Carmen;29591.0;Santa Rosalía-Maqueda;Málaga;Santa Rosalía-Maqueda;36.7429826;-4.5647864;Málaga-Costa del Sol;España;No especificado;No disponible;Carmen, Santa Rosalía-Maqueda, Campanillas, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29591, España
Sabatini's;29630.0;Avenida Antonio Machado;Benalmádena;Benalmádena Costa;36.5886431;-4.5303477;Costa del Sol Occidental;España;No especificado;No disponible;Sabatini's, Avenida Antonio Machado, Benalmádena Costa, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Mendora;29630.0;Avenida Antonio Machado;Benalmádena;Benalmádena Costa;36.5871284;-4.5315694;Costa del Sol Occidental;España;No especificado;No disponible;Mendora, Avenida Antonio Machado, Benalmádena Costa, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
ElCaprichol;29630.0;Paseo Marítimo;Benalmádena;Benalmádena Costa;36.5907816;-4.5265144;Costa del Sol Occidental;España;No especificado;No disponible;ElCaprichol, Paseo Marítimo, Benalmádena Costa, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Zirkos;29630.0;Avenida del Sol;Benalmádena;Benalmádena Costa;36.5817663;-4.5390154;Costa del Sol Occidental;España;No especificado;No disponible;Zirkos, Avenida del Sol, Benalmádena Costa, Torrequebrada, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Coco's;29630.0;Calle Torrealmádena;Benalmádena;Benalmádena Costa;36.58627;-4.5330696;Costa del Sol Occidental;España;No especificado;No disponible;Coco's, Calle Torrealmádena, Benalmádena Costa, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
El Capricho de Torrequebrada;29630.0;Avenida del Sol;Benalmádena;Benalmádena Costa;36.5819106;-4.538752;Costa del Sol Occidental;España;No especificado;No disponible;El Capricho de Torrequebrada, Avenida del Sol, Benalmádena Costa, Torrequebrada, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Merendero el Malagueño;29630.0;Avenida Antonio Machado;Benalmádena;Benalmádena Costa;36.5863573;-4.5323091;Costa del Sol Occidental;España;No especificado;No disponible;Merendero el Malagueño, Avenida Antonio Machado, Benalmádena Costa, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Dai Grifoni;29630.0;Avenida de las Palmeras;Benalmádena;Arroyo de la Miel;36.5883041;-4.5318299;Costa del Sol Occidental;España;No especificado;No disponible;Dai Grifoni, Avenida de las Palmeras, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Meeting Point Café;29630.0;Avenida de las Palmeras;Benalmádena;Arroyo de la Miel;36.5895375;-4.533375;Costa del Sol Occidental;España;No especificado;No disponible;Meeting Point Café, Avenida de las Palmeras, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
Harry's Restro;29630.0;Avenida de las Palmeras;Benalmádena;Arroyo de la Miel;36.5893211;-4.5325576;Costa del Sol Occidental;España;No especificado;No disponible;Harry's Restro, 37, Avenida de las Palmeras, Arroyo de la Miel, Arroyo de la Miel-Benalmádena Costa, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29630, España
