,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2004,101,108,8,292,61,11,8,462,2.302,350,20,99,0,275,4.097,23,58,7.648,22.486,
,2005,103,106,9,306,57,12,8,426,2.205,324,15,106,0,251,3.928,29,62,7.066,23.486,
,2006,103,90,5,296,53,17,12,366,2.205,282,24,109,0,260,3.822,16,75,6.663,24.355,
,2007,128,89,8,305,55,12,15,318,1.908,317,10,115,1,224,3.505,13,52,6.175,23.343,
,2008,73,50,2,243,22,12,8,278,1.518,228,11,76,0,181,2.702,9,44,4.556,15.973,
,2009,71,50,4,178,16,9,2,175,1.298,191,10,67,1,165,2.237,11,34,3.714,12.843,
,2010,82,29,1,174,21,5,7,210,1.253,171,10,69,0,152,2.184,7,41,3.585,12.537,
,2011,72,53,3,214,26,5,2,250,1.408,237,11,65,1,186,2.533,19,25,4.113,14.003,
,2012,88,48,2,194,27,4,6,240,1.447,243,21,87,1,192,2.600,9,34,4.201,14.456,
,2013,92,64,4,233,38,4,11,277,1.542,222,19,73,0,217,2.796,10,33,4.671,15.373,
,2014,81,35,4,209,29,10,4,298,1.471,252,9,90,0,172,2.664,9,43,4.775,15.579,
,2015,90,51,4,247,33,6,8,315,1.580,260,12,95,0,198,2.899,13,48,5.191,15.913,
,2016,116,59,6,266,42,8,7,345,1.621,322,17,110,0,216,3.135,15,45,5.515,16.734,
,2017,84,56,3,248,31,8,3,332,1.808,293,12,113,0,187,3.178,19,33,5.111,15.370,
,2018,75,41,4,283,42,7,6,372,1.709,292,13,80,1,195,3.120,12,45,5.439,16.121,
,2019,84,69,3,290,42,6,6,339,1.539,287,22,93,0,219,2.999,15,62,5.248,15.634,
,2020,79,44,2,211,22,1,3,267,1.323,241,5,72,0,168,2.438,13,46,4.253,13.748,
,2021,108,59,3,304,31,9,3,347,1.647,345,24,103,1,248,3.232,26,50,5.825,17.516,
,2022,98,54,1,346,34,12,3,423,1.750,405,17,136,1,235,3.515,24,58,6.358,17.217,
,2023,131,71,9,446,46,11,10,454,2.079,447,17,102,0,304,4.127,18,68,7.105,19.229,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
EXPORTACIONES E IMPORTACIONES,,,,,,,,,,,,,,,,,,,,,
(Miles de euros),,,,,,,,,,,,,,,,,,,,,
"Fuente: Ministerio de  Industria, Comercio y Turismo",,,,,,,,,,,,,,,,,,,,,
,,EXPORTACIONES (X),,,IMPORTACIONES (M),,,,,,,,,,,,,,,,
,,Provincia Málaga,Andalucía,España,Provincia Málaga,Andalucía,España,Saldo Málaga (X-M),,,,,,,,,,,,,
,2000,906.952,10.115.760,124.177.336,1.264.255,12.127.353,169.468.025,-357.302,,,,,,,,,,,,,
,2001,835.369,10.204.240,129.771.013,1.021.632,12.034.292,173.209.827,-186.262,,,,,,,,,,,,,
,2002,871.481,10.349.275,133.267.678,1.053.125,11.031.591,175.267.866,-181.644,,,,,,,,,,,,,
,2003,850.673,11.205.004,138.119.047,1.198.725,12.087.405,185.113.677,-348.052,,,,,,,,,,,,,
,2004,1.065.041,13.141.119,146.924.722,1.457.720,14.179.728,208.410.704,-392.679,,,,,,,,,,,,,
,2005,1.062.757,14.196.521,155.004.734,1.516.550,17.560.729,232.954.466,-453.793,,,,,,,,,,,,,
,2006,970.138,15.771.582,170.438.627,1.823.005,22.018.255,262.687.189,-852.867,,,,,,,,,,,,,
,2007,980.752,15.965.998,185.023.218,1.924.543,24.007.009,285.038.313,-943.791,,,,,,,,,,,,,
,2008,1.068.630,16.832.878,189.227.851,1.772.626,27.371.278,283.387.764,-703.996,,,,,,,,,,,,,
,2009,1.035.871,14.477.561,159.889.550,1.266.840,18.073.077,206.116.175,-230.969,,,,,,,,,,,,,
,2010,1.348.787,18.772.152,186.780.071,1.492.219,23.266.990,240.055.850,-143.432,,,,,,,,,,,,,
,2011,1.493.342,22.961.436,215.230.371,1.440.077,29.375.998,263.140.741,53.265,,,,,,,,,,,,,
,2012,1.391.958,25.239.832,226.114.594,1.274.281,31.536.796,257.945.631,117.678,,,,,,,,,,,,,
