,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2022,67,40,132,85,50,45,202,289,670,3.260,20.391,,,,,,,,,
,2023,73,41,134,91,57,48,225,300,720,3.384,21.182,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TASA DE PARO %         ,,,,,,,,,,,,,,,,,,,,,
(Nº de parados/ nº de activos),,,,,,,,,,,,,,,,,,,,,
"Fuente: Encuesta de Población Activa, INE",,,,,,,,,,,,,,,,,,,,,
,,Almería ,Cádiz,Córdoba, Granada,Huelva,Jaén,Málaga,Sevilla,Provincia de Málaga,Andalucía,España,,,,,,,,,
,1999,"19,3","35,4","28,1","23,3","24,4","15,4","27,3","26,0","23,9","26,4","15,6",,,,,,,,,
,2000,"20,2","33,2","20,6","18,6","22,3","18,7","22,4","22,0","18,9","24,1","13,9",,,,,,,,,
,2001,"12,6","25,2","17,6","13,9","11,3","12,4","15,2","17,1","14,4","18,7","10,6",,,,,,,,,
,2002,"11,6","25,3","19,5","18,4","16,0","15,0","16,1","16,6","14,9","19,5","11,5",,,,,,,,,
,2003,"11,7","22,9","16,8","14,3","18,3","12,9","17,0","14,5","16,2","18,5","11,5",,,,,,,,,
,2004,"11,3","20,1","15,5","13,5","12,6","15,5","15,2","14,8","15,0","17,0","11,0",,,,,,,,,
,2005,"10,6","16,3","12,4","13,5","14,5","12,6","12,7","11,4","11,6","13,8","9,2",,,,,,,,,
,2006,"11,9","14,5","12,8","11,2","14,1","13,0","12,8","12,1","11,0","12,6","8,5",,,,,,,,,
,2007,"11,9","16,5","11,6","11,4","11,8","11,0","12,3","12,4","10,8","12,8","8,2",,,,,,,,,
,2008,"15,8","16,3","14,5","18,1","12,6","13,3","17,2","13,4","18,2","17,7","11,2",,,,,,,,,
,2009,"27,5","20,2","23,3","20,9","20,1","20,8","25,6","18,7","26,1","25,2","17,9",,,,,,,,,
,2010,"26,7","24,5","24,9","25,1","25,0","19,4","27,9","20,6","29,1","27,8","19,9",,,,,,,,,
,2011,"28,8","26,4","27,8","26,2","27,8","20,6","32,1","21,8","30,6","30,1","21,4",,,,,,,,,
,2012,"32,4","27,3","28,4","31,0","31,7","28,3","34,3","27,0","34,3","34,4","24,8",,,,,,,,,
,2013,"32,3","32,2","30,5","31,9","29,8","33,0","33,9","31,5","35,7","36,2","26,1",,,,,,,,,
,2014,"39,5","37,9","28,1","31,5","30,3","24,7","32,3","29,5","32,6","34,8","24,4",,,,,,,,,
,2015,"32,8","39,8","23,6","29,7","25,5","23,2","29,4","26,8","29,6","31,5","22,1",,,,,,,,,
,2016,"29,5","39,2","24,4","25,1","28,0","20,9","27,5","22,2","26,1","28,9","19,6",,,,,,,,,
,2017,"27,4","32,6","24,8","22,8","21,7","17,5","23,4","19,9","22,4","25,5","17,2",,,,,,,,,
,2018,"27,0","27,8","20,1","21,6","23,3","16,2","20,9","19,8","19,2","23,0","15,3",,,,,,,,,
,2019,"21,9","31,3","18,5","21,1","23,7","19,2","15,8","18,2","17,6","21,2","14,1",,,,,,,,,
,2020,"24,8","25,7","20,6","22,1","20,8","18,0","20,0","18,8","20,3","22,3","15,5",,,,,,,,,
,2021,"23,6","21,2","20,5","18,4","22,0","14,8","20,0","17,7","20,4","21,7","14,8",,,,,,,,,
,2022,"17,5","21,5","15,3","18,9","18,2","13,5","20,4","14,2","18,3","19,0","12,9",,,,,,,,,
,2023,"14,3","21,6","14,7","16,1","21,1","10,0","16,6","13,6","16,8","18,2","12,2",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CONTRATOS EN LA CIUDAD DE MÁLAGA DIFERENCIADOS POR SEXO     ,,,,,,,,,,,,,,,,,,,,,
(Número de contratos)      ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Observatorio de las Ocupaciones de Málaga, Servicio Público de Empleo Estatal",,,,,,,,,,,,,,,,,,,,,
,,Hombre ,Mujer,Total,,,,,,,,,,,,,,,,,
,1999,111.881,74.559,186.440,,,,,,,,,,,,,,,,,
,2000,120.362,80.655,201.017,,,,,,,,,,,,,,,,,
,2001,129.913,86.983,216.896,,,,,,,,,,,,,,,,,
,2002,136.987,90.562,227.549,,,,,,,,,,,,,,,,,
,2003,142.551,101.446,243.997,,,,,,,,,,,,,,,,,
,2004,148.034,111.154,259.188,,,,,,,,,,,,,,,,,
,2005,149.564,124.210,273.774,,,,,,,,,,,,,,,,,
,2006,161.815,131.074,292.889,,,,,,,,,,,,,,,,,
,2007,156.273,130.998,287.271,,,,,,,,,,,,,,,,,
,2008,130.015,115.903,245.918,,,,,,,,,,,,,,,,,
,2009,107.306,100.470,207.776,,,,,,,,,,,,,,,,,
,2010,108.037,103.092,211.129,,,,,,,,,,,,,,,,,
,2011,110.366,103.276,213.642,,,,,,,,,,,,,,,,,
,2012,107.981,98.651,206.632,,,,,,,,,,,,,,,,,
,2013,111.236,97.236,208.472,,,,,,,,,,,,,,,,,
,2014,119.043,102.732,221.775,,,,,,,,,,,,,,,,,
,2015,136.429,122.295,258.724,,,,,,,,,,,,,,,,,
,2016,147.226,127.215,274.441,,,,,,,,,,,,,,,,,
,2017,157.741,137.659,295.400,,,,,,,,,,,,,,,,,
,2018,170.034,150.864,320.898,,,,,,,,,,,,,,,,,
,2019,173.397,156.027,329.424,,,,,,,,,,,,,,,,,
,2020,117.240,99.582,216.822,,,,,,,,,,,,,,,,,
,2021,157.057,139.739,296.796,,,,,,,,,,,,,,,,,
,2022,153.737,141.078,294.815,,,,,,,,,,,,,,,,,
,2023,121.727,116.424,238.151,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CONTRATOS INDEFINIDOS,,,,,,,,,,,,,,,,,,,,,
(Número de contratos)               ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Observatorio de las Ocupaciones de Málaga, Servicio Público de Empleo Estatal",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coin,Provincia,Andalucía,España
,2006,618,448,36,2.079,306,41,71,2.793,28.112,2.871,157,673,15,2.691,40.911,173,429,62.878,248.596,2.177.245
,2007,766,457,21,1.990,273,67,72,2.514,27.765,2.126,141,701,5,2.482,39.380,113,353,59.097,246.187,2.220.384
,2008,517,341,32,1.917,198,38,76,2.231,23.115,1.653,133,550,6,1.845,32.652,88,277,48.549,205.010,1.902.605
,2009,402,265,30,1.532,225,36,38,1.733,16.740,1.291,111,470,6,1.428,24.307,106,234,36.656,154.127,1.312.414
,2010,445,223,32,1.238,248,46,23,1.603,15.995,1.140,106,421,2,1.305,22.827,55,374,33.797,144.957,1.228.214
,2011,350,154,31,1.075,248,32,30,1.416,14.357,993,131,348,2,1.333,20.500,43,205,30.080,129.763,1.110.941
,2012,397,228,3,1.180,112,23,21,1.459,12.775,964,62,367,0,1.190,18.781,41,195,28.711,117.601,1.086.093
,2013,478,208,15,1.134,149,26,37,1.661,13.529,1.135,77,386,0,1.244,20.079,59,241,30.652,121.902,1.134.949
,2014,531,319,18,1.639,168,16,33,1.945,16.625,1.413,107,529,1,1.539,24.883,103,292,38.137,146.960,1.347.655
,2015,589,340,13,1.594,175,51,46,2.156,17.898,1.480,137,504,4,1.620,26.607,212,302,40.568,157.984,1.509.165
,2016,617,377,23,1.942,185,32,44,2.407,19.824,2.399,110,620,1,1.968,30.549,117,293,46.209,173.663,1.713.262
,2017,736,514,48,2.123,273,44,64,3.085,22.471,2.154,102,602,2,2.012,34.230,122,347,52.131,201.275,1.929.250
,2018,924,512,30,2.333,835,40,56,3.633,29.392,2.457,160,747,6,2.524,43.649,192,502,66.309,261.693,2.276.133
,2019,978,489,24,2.056,394,40,58,3.210,26.211,2.539,128,780,0,2.467,39.374,147,534,59.354,244.915,2.150.958
,2020,725,366,23,1.154,310,20,38,1.787,19.162,1.701,130,659,1,1.405,27.481,146,409,41.824,186.042,1.545.610
,2021,1.136,599,24,1.676,488,68,76,2.577,28.335,2.163,201,769,2,1.745,39.859,192,753,61.885,287.947,2.113.341
,2022,4.430,2.355,174,10.436,2.153,385,330,13.426,112.042,10.380,1.109,4.334,45,12.068,173.667,1.054,3.731,280.020,1.430.758,7.027.160
,2023,3.682,2.778,144,9.920,1.803,367,379,13.157,101.983,9.719,1.193,4.200,35,10.461,159.821,859,4.076,260.934,1.350.291,6.620.983
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TRABAJADORES AFILIADOS A LA SEGURIDAD SOCIAL,,,,,,,,,,,,,,,,,,,,,
(Número Trabajadores afiliados a último día del mes de diciembre)  ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Tesorería General de la Seguridad Social, Dirección Provincial de Málaga",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coin,Provincia,Andalucia ,España
,2004,6.467,5.440,715,15.345,4.585,1.031,1.083,,231.689,,1.853,6.030,165,17.695,292.098,2.725,5.458,,,
,2005,6.747,5.716,719,16.518,4.923,949,1.183,,245.823,,1.881,6.601,159,18.981,310.200,2.625,5.548,,,
,2006,7.512,6.089,769,17.350,5.372,1.029,1.103,21.986,256.798,19.479,2.014,6.716,172,19.584,365.973,2.945,6.206,583.420,3.052.160,18.770.259
,2007,8.008,6.036,831,17.045,5.256,999,1.247,21.458,261.493,19.966,2.197,6.570,195,19.394,370.695,2.873,6.001,586.820,3.105.582,19.195.755
,2008,7.905,4.974,626,15.550,4.326,1.034,1.065,19.190,245.702,17.599,2.069,6.745,147,17.869,344.801,2.646,5.130,540.542,2.927.961,18.305.613
,2009,7.769,4.625,641,14.424,4.047,865,1.155,18.183,234.979,16.519,2.013,6.430,164,16.985,328.799,2.604,4.709,519.531,2.873.799,17.640.018
,2010,7.996,4.281,597,14.189,4.025,1.012,1.144,17.045,232.473,15.537,1.985,6.386,126,16.171,322.967,2.776,4.582,514.857,2.866.536,17.478.095
,2011,7.937,4.008,555,14.031,3.971,874,1.115,16.639,229.169,15.112,1.803,6.325,123,15.996,317.658,2.458,4.297,507.291,2.825.267,17.111.792
,2012,7.342,3.999,507,14.087,3.865,817,1.003,16.318,217.725,15.394,1.697,6.382,117,15.624,304.877,2.440,4.117,482.150,2.663.942,16.332.488
,2013,7.700,4.012,471,14.475,3.880,850,954,16.696,219.926,15.975,1.628,6.673,112,15.837,309.189,2.457,4.152,488.288,2.689.739,16.258.042
,2014,8.182,4.474,482,15.301,4.128,882,1.094,17.495,226.852,17.178,1.872,7.228,115,16.809,322.092,2.686,4.519,509.500,2.739.133,16.651.884
,2015,8.347,4.419,550,16.208,4.410,978,991,18.512,237.344,17.877,1.791,7.548,115,16.960,336.050,2.750,4.717,527.683,2.814.495,17.180.590
,2016,8.428,4.626,566,16.965,4.656,950,1.028,19.368,246.798,19.346,1.846,7.952,110,17.718,350.357,2.882,4.868,548.687,2.903.725,17.741.897
,2017,8.969,4.913,578,17.677,4.933,994,1.042,20.828,261.373,20.439,1.956,8.018,113,18.083,369.916,3.042,5.459,576.472,3.000.703,18.331.107
,2018,9.780,5.112,620,17.930,5.214,1.057,1.015,21.459,274.354,21.376,2.040,8.467,124,18.539,387.087,3.193,5.763,602.382,3.106.037,18.914.563
,2019,10.147,5.511,618,18.421,5.399,1.103,1.044,21.757,283.142,22.205,2.103,>8.752,114,19.174,390.738,3.309,6.038,620.951,3.160.228,19.261.636
,2020,9.062,5.294,>665,17.255,>5.351,1.026,1.012,18.724,277.006,22.228,2.057,>8.505,121,16.899,385.205,3.199,5.904,596.776,3.108.771,18.904.852
,2021,9.661,5.546,>=594,19.165,>=5.364,1.019,>=1.034,20.024,292.795,22.105,2.154,>=8.826,116,18.223,390.808,3.386,6.387,638.345,3.240.147,19.703.812
,2022,10.563,5.944,>=600,21.099,5.515,1.009,1.054,21.538,310.633,23.767,2.213,>=9.085,114,19.990,423.439,3.610,6.489,664.477,3.298.118,20.159.317
,2023,10.423,6.186,>=616,21.911,5.664,987,1.086,22.224,322.394,24.979,2.231,9.316,106,>=21.415,427.507,3.596,6.533,688.156,3.364.458,20.733.042
